132;COP920428Q20;COPPEL, S.A. DE C.V.;México, D.F.;2296.00;
19265;COP920428Q20;COPPEL S.A. DE C.V.;VENUSTIANO CARRANZA;82.0000;
1821;COP920428Q20;COPPEL S.A DE C.V;culiacan sinaloa;200.00;
1821;COP920428Q20;COPPEL S.A DE C.V;culiacan sinaloa;200.00;
;COP920428Q20;COPPEL S.A. DE C.V.;México DF;138.00;
